Speaker,gloss1,total_freq
Anais,changer,5
Anais,changera,1
Anais,changes,1
Anais,chanson,8
Anais,chansons,2
Anais,chante,6
Anais,chanté,2
Anais,chanter,1
Anais,chantes,4
Anais,chapeau,25
Anais,chapeaux,1
Anais,chaperon,6
Anais,chaque,6
Anais,charger,1
Anais,chariot,5
Anais,chasseur,1
Anais,chat,25
Anais,château,3
Anais,châteaux,2
Anais,chaton,4
Anais,chats,1
Anais,chaud,18
Anais,chaude,2
Anais,chauds,1
Anais,chauffage,1
Anais,chauffe,1
Anais,chauffer,13
Anais,chauffeur,1
Anais,chaussette,1
Anais,chaussettes,8
Anais,chaussons,3
Anais,chaussure,9
Anais,chaussures,18
Anais,chemise,2
Anais,chenille,2
Anais,Chenonceau,1
Anais,cherchais,4
Anais,cherche,10
Anais,chercher,50
Anais,cherches,22
Anais,chérie,22
Anais,cheval,52
Anais,chevalier,1
Anais,chevaux,13
Anais,cheveu,4
Anais,cheveux,20
Anais,cheville,1
Anais,chèvre,2
Anais,chez,7
Anais,Chi,68
Anais,chien,30
Anais,chiens,6
Anais,chipie,23
Anais,Chipinette,2
Anais,chipounette,1
Anais,chique,1
Anais,Chl,84
Anais,chlak@o,1
Anais,Chlo,7
Anais,Chloé,3
Anais,Chloée,3
Anais,chocolat,14
Anais,choisis,1
Anais,chose,37
Anais,choses,7
Anais,chouchou,17
Anais,chouchous,6
Anais,chouette,2
Anais,chplouf@o,2
Anais,Christelle,1
Anais,chut,33
Anais,chute,1
Anais,chuté,2
Anais,ci,2
Anais,ciao,5
Anais,ciel,2
Anais,cinq,2
Anais,circuit,1
Anais,ciseau,5
Anais,ciseaux,9
Anais,citron,5
Anais,citrouille,1
Anais,clair,2
Anais,claque,3
Anais,Clara,1
Anais,classe,1
Anais,cloche,1
Anais,clown,12
Anais,clowns,1
Anais,coccinelle,6
Anais,cochon,43
Anais,cochonnets,1
Anais,cochons,3
Anais,Coco,1
Anais,cocorico,1
Anais,cocotte,4
Anais,cocottes,3
Anais,coeur,22
Anais,coeurs,4
Anais,coffre,1
Anais,cogné,1
Anais,coin,9
Anais,coin@o,2
Anais,coin+coin,2
Anais,coince,2
Anais,coincé,7
Anais,coincée,6
Anais,coins,1
Anais,col,1
Anais,colin,2
Anais,collant,1
Anais,collants,6
Anais,colle,38
Anais,collé,11
Anais,coller,21
Anais,colles,7
Anais,collier,4
Anais,colonel,1
Anais,coloré,1
Anais,colores,1
Anais,colorie,5
Anais,colorié,2
Anais,colorier,4
Anais,colories,1
Anais,combien,7
Anais,commandos,1
Anais,comme,319
Anais,commence,1
Anais,commencé,1
Anais,commencer,1
Anais,commences,1
Anais,comment,106
Anais,commissions,1
Anais,compliqué,7
Anais,compliqués,1
Anais,comprend,2
Anais,comprendre,1
Anais,comprends,12
Anais,compris,31
Anais,comptes,1
Anais,conduire,3
Anais,conduit,1
Anais,confiture,3
Anais,connais,7
Anais,content,5
Anais,contente,6
Anais,continue,5
Anais,continuer,2
Anais,continues,2
Anais,contradiction,1
Anais,contraire,4
Anais,contre,2
Anais,copain,7
Anais,copains,4
Anais,copine,4
Anais,copines,1
Anais,coq,13
Anais,coquelicot,4
Anais,coquillage,4
Anais,coquillages,2
Anais,coquille,1
Anais,coquin,3
Anais,coquine,1
Anais,Coquinette,1
Anais,coquins,2
Anais,Corail,1
Anais,cornes,1
Anais,costaud,2
Anais,costeau,1
Anais,cot@o,4
Anais,coté,2
Anais,côté,42
Anais,coton,5
Anais,cou,5
Anais,couac,1
Anais,couche,8
Anais,couché,1
Anais,couchée,1
Anais,couches,1
Anais,coucou,11
Anais,couette,1
Anais,couic,1
Anais,couic@o,2
Anais,couic@p,1
Anais,coule,2
Anais,couleur,30
Anais,couleurs,5
Anais,coup,11
Anais,coupais,1
Anais,coupe,11
Anais,coupé,2
Anais,couper,16
Anais,coupes,1
Anais,cour,2
Anais,couronne,4
Anais,cours,6
Anais,courses,2
Anais,court,6
Anais,coussin,1
Anais,couteau,27
Anais,couvercle,9
Anais,couverte,1
Anais,couverture,9
Anais,crabe,3
Anais,crabes,1
Anais,craché,1
Anais,crado,3
Anais,crains,1
Anais,crâne,1
Anais,crapaud,2
Anais,crapule,3
Anais,crayon,10
Anais,crayons,9
Anais,crêche,1
Anais,crème,2
Anais,crépon,1
Anais,crevettes,2
Anais,cri,1
Anais,cricket,1
Anais,crie,3
Anais,crise,1
Anais,crochets,3
Anais,crocodile,26
Anais,crois,59
Anais,croix,1
Anais,crouic,1
Anais,croûte,1
Anais,croyais,4
Anais,cru,3
Anais,Cruche,1
Anais,cube,1
Anais,cubes,2
Anais,cuillère,17
Anais,cuillères,4
Anais,cuire,3
Anais,cuisine,4
Anais,cuisinière,1
Anais,cuisses,4
Anais,culotte,18
Anais,curieuse,1
Anais,cygne,2
Anais,cygnes,1
Anais,d',3
Anais,d'abord,25
Anais,d'accord,113
Anais,d'ailleurs,2
Anais,d'Aladin,1
Anais,d'Alice,1
Anais,d'animaux,1
Anais,d'arbre,1
Anais,d'arbres,1
Anais,d'arc+en+ciel,1
Anais,d'arrêt,1
Anais,d'assiette,1
Anais,d'autre,14
Anais,d'autres,8
Anais,d'eau,2
Anais,d'écrabouiller,1
Anais,d'écrit,1
Anais,d'elle,1
Anais,d'Emilie,1
Anais,d'escargot,3
Anais,d'être,3
Anais,d'habit,2
Anais,d'orange,2
Anais,d'oreille,2
Anais,d'oreilles,1
Anais,d'où,1
Anais,d'une,1
Anais,d@l,3
Anais,dababe@c,1
Anais,dada,1
Anais,dadou@o,1
Anais,Daisy,2
Anais,dalle,1
Anais,dama,1
Anais,Danielle,1
Anais,dans,262
Anais,danse,4
Anais,dansent,4
Anais,danser,1
Anais,danses,8
Anais,danseuse,1
Anais,dauphin,3
Anais,de,505
Anais,débloqué,1
Anais,déboîté,1
Anais,déborde,2
Anais,déborder,1
Anais,debout,16
Anais,débrancher,1
Anais,débrouille,4
Anais,débrouille-toi,1
Anais,débrouiller,1
Anais,débrouilles,1
Anais,début,1
Anais,décalage,1
Anais,déchaînée,1
Anais,déchiré,3
Anais,déchirer,2
Anais,déchires,2
Anais,décide,1
Anais,décidé,5
Anais,décides,1
Anais,décolle,2
Anais,décolles,3
Anais,décor,1
Anais,découpe,3
Anais,découper,6
Anais,découpes,2
Anais,dedans,97
Anais,défaire,6
Anais,défais,3
Anais,défait,7
Anais,défaite,1
Anais,défaits,1
Anais,déguisé,4
Anais,déguisées,1
Anais,déguisements,1
Anais,déhanchée,1
Anais,dehors,6
Anais,déjà,20
Anais,demande,1
Anais,demandé,1
Anais,demander,2
Anais,démarche,1
Anais,demi+heure,1
Anais,démonté,1
Anais,démontée,1
Anais,dentifrice,4
Anais,dentiste,1
Anais,dents,23
Anais,dépasser,1
Anais,dépêche,6
Anais,dépêches,2
Anais,dépeigne,1
Anais,dépeignée,2
Anais,depuis,1
Anais,dérange,1
Anais,dernier,8
Anais,dernière,3
Anais,derrière,33
Anais,des,193
Anais,descend,3
Anais,descendre,2
Anais,descends,12
Anais,descendu,1
Anais,déshabillé,1
Anais,désolée,1
Anais,dessin,5
Anais,dessine,4
Anais,dessiné,1
Anais,dessiner,2
Anais,dessines,4
Anais,dessins,1
Anais,dessous,30
Anais,dessus,57
Anais,destructrice,2
Anais,déteste,1
Anais,détruire,1
Anais,détruis,1
Anais,détruit,5
Anais,détruite,1
Anais,deux,103
Anais,deuxième,2
Anais,devant,13
Anais,devenu,1
Anais,devient,1
Anais,devrais,1
Anais,devrait,3
Anais,Diane,1
Anais,difficile,1
Anais,dînette,6
Anais,Dingo,3
Anais,Dipsi,5
Anais,Dipsy,7
Anais,dirait,7
Anais,diras,2
Anais,dire,11
Anais,directement,1
Anais,dis,84
Anais,dis-moi,1
Anais,disais,1
Anais,discute,1
Anais,discutent,2
Anais,dise,2
Anais,dises,1
Anais,disque,3
Anais,dit,28
Anais,dix,1
Anais,dodo,37
Anais,doigt,16
Anais,doigts,30
Anais,dois,6
Anais,doit,43
Anais,doivent,3
Anais,don,1
Anais,Donald,2
Anais,donc,37
Anais,donne,151
Anais,donné,4
Anais,donner,11
Anais,donnerai,1
Anais,donneras,3
Anais,donnes,63
Anais,Dori,1
Anais,dormais,1
Anais,dorment,2
Anais,dormi,1
Anais,dormir,7
Anais,dors,7
Anais,dort,19
Anais,dos,21
Anais,dossier,1
Anais,doucement,38
Anais,douche,6
Anais,doudou,34
Anais,doudous,5
Anais,douée,2
Anais,doux,3
Anais,droit,4
Anais,droite,3
Anais,drôle,4
Anais,dromadaire,8
Anais,du,123
Anais,dû,5
Anais,Dumbo,2
Anais,dur,9
Anais,duré,1
Anais,durer,2
Anais,durs,1
Anais,e@l,1
Anais,eau,1
Anais,écartes,1
Anais,échange,1
Anais,échangé,1
Anais,écharpe,5
Anais,écoute,6
Anais,écoutes,3
Anais,écrabouille,1
Anais,écrabouillé,2
Anais,écrases,1
Anais,écris,1
Anais,écrit,24
Anais,écureuil,1
Anais,efface,4
Anais,effacer,2
Anais,effaces,1
Anais,effet,2
Anais,eh,28
Anais,éh,15
Anais,élastique,1
Anais,élastiques,1
Anais,Eléonor,1
Anais,Eléonore,2
Anais,éléphant,22
Anais,éléphants,2
Anais,elle,407
Anais,elles,35
Anais,embêtant,1
Anais,Emilie,3
Anais,emmené,1
Anais,emmène,6
Anais,emmener,2
Anais,emmènes,1
Anais,emmerdeuse,1
Anais,empêche,2
Anais,en,318
Anais,en_bas,8
Anais,en_dessous,3
Anais,en_effet,1
Anais,en_haut,8
Anais,en_plus,6
Anais,en_train,6
Anais,enclos,1
Anais,encore,265
Anais,endormi,1
Anais,endroit,1
Anais,enfant,7
Anais,enfants,3
Anais,enfin,4
Anais,enlevé,12
Anais,enlève,36
Anais,enlevée,2
Anais,enlevées,1
Anais,enlever,36
Anais,enlèves,8
Anais,énorme,1
Anais,enroué,1
Anais,ensemble,7
Anais,ensuite,16
Anais,entend,1
Anais,entends,1
Anais,entendu,9
Anais,entier,1
Anais,entraînée,1
Anais,entre,1
Anais,entrez,1
Anais,envie,8
Anais,envoie,1
Anais,envoies,2
Anais,envole,1
Anais,envolé,1
Anais,éponge,3
Anais,Ernesto,6
Anais,es,171
Anais,escaliers,2
Anais,escargot,7
Anais,escargots,1
Anais,espèce,4
Anais,esprit,1
Anais,essaie,10
Anais,essaies,2
Anais,essaye,2
Anais,essayé,1
Anais,essayer,5
Anais,essoufflée,1
Anais,essuie,6
Anais,essuies,1
Anais,essuyé,3
Anais,essuyée,1
Anais,essuyer,5
Anais,est,784
Anais,Estelle,3
Anais,et,621
Anais,étaient,3
Anais,étais,1
Anais,était,15
Anais,étale,1
Anais,étalé,2
Anais,étales,2
Anais,état,1
Anais,été,2
Anais,éteindre,2
Anais,éteins,9
Anais,éteint,3
Anais,éternue,1
Anais,éternues,1
Anais,étoile,12
Anais,étoiles,6
Anais,étonnant,1
Anais,être,41
Anais,eu,16
Anais,euh,38
Anais,européen,1
Anais,eux,1
Anais,évidemment,3
Anais,évident,2
Anais,évite,2
Anais,évité,1
Anais,Ewan,1
Anais,excuse,8
Anais,excuses,1
Anais,exprès,8
Anais,fabriques,2
Anais,face,3
Anais,façon,4
Anais,faim,3
Anais,faire,184
Anais,fais,301
Anais,faisaient,1
Anais,faisais,2
Anais,faisait,2
Anais,fait,266
Anais,falloir,6
