language,uni_lemma,lexical_category,frequency,MLU,final_frequency,solo_frequency,num_phons,concreteness,valence,arousal,babiness,measure,age,num_true,num_false,unscaled_age,total,prop
English (American),juice,nouns,0.46549039388918323,-0.8998445494588165,1.2192846424269694,0.8084003698106249,-0.5661280732323791,0.7525849672755247,0.8226569996976631,0.7685471922282164,1.394698368555047,understands,-0.3161911888649006,86,57,12,143,0.6013986013986014
English (American),jump,predicates,0.3019215938258023,0.06318291127023568,-0.35669413469418043,0.7988360654873286,0.13943746412594538,0.37377857006020354,0.4006846571561143,1.4023432796404811,-0.18493969975681535,understands,1.2647647554596024,44,34,17,78,0.5641025641025641
English (American),keys,nouns,-0.4882684119629531,-0.34966613338882013,0.2531719498152112,0.32602273016305516,-0.5661280732323791,0.7525849672755247,0.19887179767972077,-0.05304032849138557,-0.3034695401981513,understands,-0.3161911888649006,74,69,12,143,0.5174825174825175
English (American),kick,predicates,-0.5655146379923901,-0.8235831241036189,-1.1642298963811264,-0.7351022843883239,-0.5661280732323791,0.17925636608476894,-1.333071271981989,1.3553954213136468,0.9827746094596141,understands,1.2647647554596024,45,33,17,78,0.5769230769230769
English (American),kiss,predicates,0.1909054719603469,-0.6923247270393771,0.6437088943874976,0.28289416345532636,-0.5661280732323791,0.3328265271180076,1.6299084376032347,2.4704070565759637,1.25261452130791,understands,-0.9485735665947017,81,74,10,155,0.5225806451612903
English (American),kitchen,nouns,-0.226463060383593,1.941698231542748,0.4644345206903136,-0.4683587057561424,0.84500300148427,0.8344890531599185,0.15300523870781346,-0.4990449825963124,0.09922799523893128,understands,0.9485735665947017,51,37,16,88,0.5795454545454546
English (American),kitty,nouns,0.43478806034082934,-1.3408957115844833,0.5371253994075026,1.2284781836754715,0.13943746412594538,0.8344890531599185,1.4464422017156047,-0.8863648137926965,0.0657965015625277,understands,0,511,259,13,770,0.6636363636363637
English (American),leg,nouns,-0.04963869083655812,0.12440343777146935,0.7153220423831678,-0.992860989711987,-0.5661280732323791,0.6911569028622299,0.19887179767972077,-1.4027912553878747,-0.33538142054842146,understands,1.2647647554596024,46,32,17,78,0.5897435897435898
English (American),light (object),nouns,0.22411873748878505,0.4357638213398032,0.2795032979574256,0.5135399916479357,-0.5661280732323791,0.05640023725817823,0.5015910868943103,-0.4990449825963124,-0.13479245949294663,understands,0.9485735665947017,45,43,16,88,0.5113636363636364
English (American),lion,nouns,-0.2800224887671464,-0.643773876217683,0.3158588757556664,0.3662381836926848,-0.5661280732323791,0.8242510424243695,-0.14971405050677603,1.5783977483661107,-0.8619274433190421,understands,1.580955944324503,43,41,18,84,0.5119047619047619
English (American),living room,nouns,-2.1112246163237423,-0.12378143691650241,-0.0558310703822725,-1.002758287066094,2.961699613559243,0.5580627633000901,-0.4157400925438394,-0.9919974950280737,0.3165327028818709,understands,1.580955944324503,45,39,18,84,0.5357142857142857
English (American),look,predicates,2.0267373227116785,-0.6561702214963924,-0.8689523571863429,2.3380560226368523,-0.5661280732323791,-1.2233511046854737,-0.04880762076857924,-0.21735783263530617,-0.36045504068035567,understands,0,478,292,13,770,0.6207792207792208
English (American),love,predicates,0.5597264495303425,-0.5129522638343647,-1.315608835274678,-0.08727044475947626,-0.5661280732323791,-2.1345340601493548,1.8317212970796275,1.6605565004380711,2.188696339232477,understands,0.6323823777298012,61,60,15,121,0.5041322314049587
English (American),lunch,other,-0.0275372905190183,0.48680197800969177,0.633219540799064,-0.39789743086506163,0.13943746412594538,0.15878034461367005,0.5841508930437436,-0.4403601596877696,0.3666799431457399,understands,0.6323823777298012,61,60,15,121,0.5041322314049587
English (American),me,function_words,2.049679161792107,0.173803152663296,1.0644537539182422,0.7078571350674264,-1.2716936105907035,0.17925636608476894,-0.2781404156281166,0.18169896314278622,-0.8870010634509763,understands,1.580955944324503,53,31,18,84,0.6309523809523809
English (American),medicine,nouns,-0.7956387386440973,0.05494627754101792,0.22051621461180268,-0.7321135197381528,2.2561340762009188,0.6502048599200329,-0.09467417974048656,0.06432931732570059,-0.34905794048362027,understands,1.580955944324503,47,37,18,84,0.5595238095238095
English (American),meow,other,-0.4795791215011519,-2.71658060687903,-0.7407214490752305,1.9989844042517249,-0.5661280732323791,-0.24050207407274912,0.12548530332466873,-0.6164146284133986,-1.0784723445496516,understands,0,455,315,13,770,0.5909090909090909
English (American),milk,nouns,0.5240092248858951,-0.24687943756696878,0.9653272886101905,0.8269612245701743,0.13943746412594538,0.7832989994821725,0.6758840109875589,-1.895743767819636,2.5856953248219274,understands,-0.3161911888649006,81,62,12,143,0.5664335664335665
English (American),mine,function_words,0.26370230996521415,-1.2072188413527698,0.8129478843760809,0.7493069977930376,-0.5661280732323791,-0.6090704605525209,-0.00294106179667192,-0.1469360451450545,-0.3946463407690892,understands,0.9485735665947017,47,41,16,88,0.5340909090909091
English (American),mommy,other,0.5192868326384258,-1.3408957115844833,0.7752411781598488,-0.20129427613855697,0.13943746412594538,-0.08693191303951049,1.272149277622356,-0.28777962012555736,2.2494808732807496,understands,-1.580955944324503,32,3,8,35,0.9142857142857143
English (American),monkey,nouns,-0.21432775770380355,-0.8926985793972763,0.33158368180903774,0.544809429435655,0.84500300148427,0.7628229780110747,-0.1680606740955386,1.4140802442221905,-0.8715711432540617,understands,1.580955944324503,53,31,18,84,0.6309523809523809
English (American),moo,other,-0.450038434047109,-2.7503886789720524,-0.4680806077446949,2.115708632367916,-1.2716936105907035,-0.7728786323213085,-0.4799532751045093,0.005644494417157768,0.05422406154020991,understands,0.9485735665947017,53,35,16,88,0.6022727272727273
English (American),moon,nouns,-0.05339541886438457,1.7215889802369095,0.4936480410473897,0.31802181572202126,-0.5661280732323791,0.7628229780110747,0.9143901176414777,-0.6046776638316896,-0.6529806087190987,understands,1.580955944324503,48,36,18,84,0.5714285714285714
English (American),more,function_words,1.3680702280702117,-0.051794237403330216,0.605998663306934,0.692830429348388,-1.2716936105907035,-1.8273937380828775,0.3548180981842062,-1.226736786662246,-0.3917970658452736,understands,0,411,359,13,770,0.5337662337662338
English (American),mouse,nouns,-0.35062944992822154,-0.3780773099434941,0.3674749264515664,0.16955056820676717,-0.5661280732323791,0.6911569028622299,-1.1037384771224517,-0.663362486740233,-1.0784723445496516,understands,1.580955944324503,42,42,18,84,0.5
English (American),mouth,nouns,0.4606731419599013,0.35155125860693054,1.173742945437095,-0.09278478075770608,-0.5661280732323791,0.599014806242287,-0.3790468453663134,0.22864682146962065,0.0927988617817606,understands,0,426,344,13,770,0.5532467532467532
English (American),nap,other,-0.34064994399906545,0.7312907723330162,0.5281618874204795,-0.20385565115824522,-0.5661280732323791,-0.12788395598170743,0.48324446330554766,0.22864682146962065,2.2722750731727483,understands,0,431,339,13,770,0.5597402597402598
English (American),no,other,2.285242606635749,-1.8425032529548622,-0.6778991366026622,3.5041509743895327,-1.2716936105907035,-1.745489652198484,-2.901707588821225,1.1206561296794755,0.6714208649035485,understands,-1.2647647554596024,65,29,9,94,0.6914893617021277
English (American),nose,nouns,0.34754405549909034,-0.6425586903758862,1.0914977143757107,1.0001523727887254,-0.5661280732323791,0.7525849672755247,-0.46160665151574676,-0.9919974950280737,0.9350153326357602,understands,-0.6323823777298012,47,47,11,94,0.5
English (American),off,function_words,1.22352420586298,0.6011505929483756,1.247635661083875,0.12452725822556361,-1.2716936105907035,-1.3973972871898106,0.0429254971752354,1.296710598405104,-1.0875900245064514,understands,0.9485735665947017,46,42,16,88,0.5227272727272727
English (American),on,function_words,2.3746597218298704,0.768845863667841,0.7016461210630798,-0.5075307698758708,-1.2716936105907035,-0.9264487933545467,1.6941216201639047,0.40470129019525014,-0.9872955439787138,understands,1.2647647554596024,52,26,17,78,0.6666666666666666
English (American),open (action),predicates,0.6954027472966235,-0.24611466845108476,-0.48612342206854847,0.8167278587455727,0.13943746412594538,-0.9674008362967436,0.12548530332466873,0.5690187943391702,-0.5913962788432187,understands,0.6323823777298012,74,47,15,121,0.6115702479338843
English (American),ouch,other,-0.8476068459111492,-3.2565772017216092,-1.6482621642558284,2.132612942913323,-1.2716936105907035,-1.4281113193964583,-3.259466748802103,0.9093907672087197,0.6424897645970173,understands,0.3161911888649006,75,55,14,130,0.5769230769230769
English (American),out,function_words,1.6041991553830612,1.2541330349822983,1.1204156342841514,-0.2504531695984848,-1.2716936105907035,-1.4588253516031058,-1.1404317242999777,0.6511775464111308,-1.0947539158294401,understands,0.9485735665947017,53,35,16,88,0.6022727272727273
English (American),outside,other,0.2655623770048709,0.13243520945697784,0.9125807184163757,0.6482386932665319,0.84500300148427,0.09735228020037513,0.8318303114920443,-0.006092470164551105,0.46697442367347725,understands,-0.6323823777298012,49,45,11,94,0.5212765957446809
English (American),oven,nouns,-1.0141038624633647,1.2546933609724475,0.10129880061588545,-0.39516384688594197,0.13943746412594538,0.8344890531599185,0.14383192691343213,-1.1680519637537026,-1.3383262258257946,understands,1.580955944324503,45,39,18,84,0.5357142857142857
English (American),owie,nouns,-0.32000298138960215,-1.6328378013495781,0.07232324678290711,1.7192942946822953,-0.5661280732323791,-0.5578804068747749,-3.259466748802103,0.9093907672087197,1.7708026705340618,understands,1.2647647554596024,57,21,17,78,0.7307692307692307
English (American),pajamas,nouns,-0.7660956250336441,0.2658824495034384,-0.20883118778491852,-0.4372539419602845,2.2561340762009188,0.588776795506738,0.7859637525201371,0.498597006848919,1.219183027631507,understands,0.9485735665947017,52,36,16,88,0.5909090909090909
English (American),pants,nouns,-0.2225553940091812,0.2584384232574049,0.33721819052688057,0.032516578145278065,0.84500300148427,0.7218709350688777,-0.35152690998316866,-0.1704099743084717,-0.27090639713710213,understands,1.2647647554596024,56,22,17,78,0.717948717948718
English (American),paper,nouns,0.32395993903369297,0.6610647326627734,0.790684891309256,-0.19456395868896734,0.13943746412594538,0.7935370102177216,-0.5349931458707988,-0.4990449825963124,-0.5694018752802991,understands,1.2647647554596024,41,37,17,78,0.5256410256410257
English (American),park,other,-0.36740307630045693,1.4282082991301557,0.3448727742043312,-1.6564901933657667,-0.5661280732323791,0.599014806242287,0.9143901176414777,-1.4614760782964176,0.5887605786716539,understands,1.580955944324503,48,36,18,84,0.5714285714285714
English (American),pasta,nouns,-0.5630605259889925,-0.5193873846721788,0.1828238418579385,0.43795921653722153,1.5505685388425947,0.7218709350688777,0.9877766119965297,0.029118423580575,-1.0328839442641828,understands,1.2647647554596024,40,38,17,78,0.5128205128205128
English (American),pattycake,other,-1.2629161176727304,-2.960690995370264,-0.9526797107740225,1.6654209274889387,2.2561340762009188,0.3533025485891056,0.7217505699594663,1.296710598405104,-0.8440177145100968,understands,-0.6323823777298012,49,45,11,94,0.5212765957446809
English (American),peas,nouns,-0.9363134226271377,-0.8242608515521199,-0.07943612443593864,0.34600699089644066,-0.5661280732323791,0.7628229780110747,0.08879205614714272,-1.1680519637537026,1.018594066576032,understands,1.580955944324503,46,38,18,84,0.5476190476190477
English (American),peekaboo,other,-0.21001318804972938,-3.456277516646039,-0.600788744021967,2.5423858434658526,1.5505685388425947,-0.9469248148256452,0.2539116684460102,-0.12346211598163725,2.2950692730647466,understands,-1.580955944324503,21,14,8,35,0.6
English (American),pen,nouns,-0.39973434632315474,-0.2508354267652117,0.5250814352734366,-0.13890509391155717,-0.5661280732323791,0.7832989994821725,-0.34235359818878736,-1.4027912553878747,-0.7137651427673721,understands,1.2647647554596024,41,37,17,78,0.5256410256410257
English (American),picture,nouns,0.578474729987577,0.6830717831521819,0.7850780710839161,-0.640508499755284,0.84500300148427,0.37377857006020354,0.6667106991931777,-0.7689951679756103,0.6675633847289516,understands,1.2647647554596024,48,30,17,78,0.6153846153846154
English (American),pig,nouns,0.044779362546883555,-0.40472841275211746,0.4319698876060332,0.4361655031443911,-0.5661280732323791,0.8652030853665663,-1.0762185417393069,-0.31125354928897453,-1.2798211120174567,understands,1.2647647554596024,48,30,17,78,0.6153846153846154
English (American),pillow,nouns,-0.6175062064378736,-0.2761179600872666,0.5640955387937632,0.12489102408203497,0.13943746412594538,0.8652030853665663,0.9143901176414777,-1.226736786662246,-0.040069894494364586,understands,1.2647647554596024,53,25,17,78,0.6794871794871795
English (American),pizza,nouns,-0.8513901767520021,-0.1458591374840398,-0.0038977985803942826,0.2933784637994323,0.84500300148427,0.8652030853665663,1.7308148673414308,0.7450732630647997,-1.0328839442641828,understands,1.580955944324503,45,39,18,84,0.5357142857142857
English (American),plant,nouns,-0.6653155545783531,1.7527403774740333,-0.4416965825821897,-0.6113144982592487,0.84500300148427,0.619490827713385,0.960256676613385,-0.006092470164551105,-0.8870010634509763,understands,1.580955944324503,43,41,18,84,0.5119047619047619
English (American),plate,nouns,-0.10428809050920106,0.3222248581497869,0.7770086333555062,-0.44160206078705483,0.13943746412594538,0.6297288384489339,-1.1037384771224517,-0.8981017783744049,-0.4356759010761586,understands,1.2647647554596024,43,35,17,78,0.5512820512820513
English (American),play,predicates,1.4899185289875088,0.6512826353073418,-0.35891127714243204,-0.42973790731795936,-0.5661280732323791,-0.9366868040900957,1.4189222663324599,-0.15867300972676282,2.4774228742066224,understands,0.9485735665947017,50,38,16,88,0.5681818181818182
English (American),please,other,0.7761098162981988,-0.9584771113684352,1.199801397550554,1.6809782510871056,0.13943746412594538,-2.5747685217779708,0.5199377104830736,-1.1680519637537026,-0.48582314134002724,understands,0.9485735665947017,46,42,16,88,0.5227272727272727
